PLAYER_NAME,recovered_shots,slump_shots,avg_shot_distance_recovered,avg_shot_distance_slump,avg_loc_x_recovered,avg_loc_x_slump,avg_loc_y_recovered,avg_loc_y_slump,avg_shot_distance_change,most_common_slump_shot_zone,slump_shot_count,most_common_recovery_shot_zone,recovery_shot_count
Aaron Wiggins,17,118,11.058823529411764,13.711864406779661,-8.470588235294118,-6.262711864406779,51.529411764705884,85.70338983050847,-2.6530408773678964,Restricted Area,37,Restricted Area,9
Alex Sarr,33,249,12.0,13.124497991967871,-19.90909090909091,2.8755020080321283,91.03030303030303,97.9839357429719,-1.1244979919678713,In The Paint (Non-RA),82,Restricted Area,14
Alperen Sengun,43,221,4.465116279069767,6.552036199095022,0.3953488372093023,3.8823529411764706,41.93023255813954,57.39366515837104,-2.086919920025255,In The Paint (Non-RA),93,Restricted Area,24
Amen Thompson,11,70,3.272727272727273,8.82857142857143,2.727272727272727,25.485714285714284,27.90909090909091,49.3,-5.555844155844156,Restricted Area,32,Restricted Area,8
Andrew Wiggins,24,206,9.583333333333334,14.135922330097088,-27.458333333333332,-2.2572815533980584,74.625,105.33980582524272,-4.552588996763754,Above the Break 3,72,Restricted Area,10
Anfernee Simons,48,325,14.458333333333334,16.633846153846154,12.333333333333334,-8.246153846153845,114.52083333333333,136.2,-2.17551282051282,Above the Break 3,143,Above the Break 3,20
Anthony Davis,31,159,7.193548387096774,9.924528301886792,-12.64516129032258,-15.025157232704403,62.45161290322581,85.49056603773585,-2.7309799147900176,In The Paint (Non-RA),56,In The Paint (Non-RA),15
Anthony Edwards,69,436,13.391304347826088,15.227064220183486,-12.347826086956522,-15.36697247706422,104.26086956521739,118.38073394495413,-1.8357598723573982,Above the Break 3,172,Above the Break 3,24
Austin Reaves,38,242,15.18421052631579,17.276859504132233,-0.47368421052631576,-4.871900826446281,126.92105263157895,139.8595041322314,-2.0926489778164434,Above the Break 3,109,Above the Break 3,16
Bam Adebayo,38,242,6.947368421052632,10.512396694214877,10.18421052631579,0.3760330578512397,62.63157894736842,84.91322314049587,-3.5650282731622447,In The Paint (Non-RA),108,Restricted Area,20
Bennedict Mathurin,29,177,8.655172413793103,12.254237288135593,8.172413793103448,27.54237288135593,56.793103448275865,91.92655367231639,-3.5990648743424902,Restricted Area,56,Restricted Area,15
Bradley Beal,21,139,10.238095238095237,14.83453237410072,3.9047619047619047,-6.848920863309353,78.71428571428571,96.53956834532374,-4.596437136005482,Above the Break 3,38,In The Paint (Non-RA),7
Brook Lopez,22,130,16.772727272727273,14.746153846153845,0.6363636363636364,14.615384615384615,141.22727272727272,117.37692307692308,2.026573426573428,Above the Break 3,53,Above the Break 3,11
Bub Carrington,24,186,15.875,18.634408602150536,39.25,20.79032258064516,123.16666666666667,133.747311827957,-2.759408602150536,Above the Break 3,89,Above the Break 3,11
Buddy Hield,21,184,16.571428571428573,20.02173913043478,9.619047619047619,-37.94021739130435,116.0,125.15217391304348,-3.4503105590062084,Above the Break 3,99,Above the Break 3,11
CJ McCollum,43,261,10.744186046511627,14.919540229885058,2.883720930232558,1.7777777777777777,77.3953488372093,110.9463601532567,-4.175354183373431,Above the Break 3,94,Restricted Area,17
Cade Cunningham,64,363,10.453125,12.807162534435262,1.890625,0.5867768595041323,83.25,106.3305785123967,-2.354037534435262,Above the Break 3,109,In The Paint (Non-RA),22
Cameron Johnson,27,157,14.11111111111111,17.235668789808916,-21.14814814814815,-4.082802547770701,117.22222222222223,118.2484076433121,-3.124557678697805,Above the Break 3,67,Above the Break 3,10
Christian Braun,15,78,3.466666666666667,10.192307692307692,23.4,-17.96153846153846,23.0,71.98717948717949,-6.725641025641025,Restricted Area,35,Restricted Area,11
Coby White,59,280,11.525423728813559,15.778571428571428,-24.8135593220339,-32.68214285714286,85.79661016949153,115.00714285714285,-4.25314769975787,Above the Break 3,107,Restricted Area,23
Collin Sexton,33,178,9.636363636363637,12.207865168539326,-34.21212121212121,-3.657303370786517,65.93939393939394,92.26404494382022,-2.5715015321756898,In The Paint (Non-RA),61,In The Paint (Non-RA),17
Damian Lillard,44,248,13.909090909090908,17.47983870967742,-2.8181818181818183,-12.471774193548388,113.13636363636364,141.51209677419354,-3.5707478005865116,Above the Break 3,110,Above the Break 3,16
